SAMPLE_ID, Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Biphasic , Epithelioid , Biphasic , Biphasic , Biphasic , Biphasic , Epithelioid , Epithelioid , Biphasic , Epithelioid , Sarcomatoid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Biphasic , Biphasic , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Biphasic , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Sarcomatoid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Biphasic , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Epithelioid , Biphasic , Epithelioid , Epithelioid , Biphasic , Biphasic 
HAND1,0,0.8541,0,1.9486,0.4958,0,0,0.4751,0,0.5364,0,0,0,0.8889,0,0,0,1.8108,1.1411,0.3694,1.0982,6.5343,0,5.7102,0,0,1.5595,0,0,2.8651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2305.63,0.4575,0.678,0,0,1.1919,0.4523,0,33.0306,2.3627,0.5322,0,0,8.6101,1.4318,0,1.2981,0,1.0564,0,0,0,0,0,0,0.4263,0.5758,0,61.9771,0.5594,0,0,0,0,2.9256,0,0.8754,0,0,6.427,0
HAND2,35.3659,31.1733,70.997,13.6402,50.0806,7.8713,15.8494,22.3278,193.689,35.9391,31.6283,208.719,55.7782,112,179.471,60.4713,58.1575,20.8239,8.7486,17.7334,0,30.3844,282.398,104.415,68.6425,49.016,11.9558,92.3404,12.3165,41.0658,51.9818,8.8594,367.864,3.9017,22.5367,8.1574,32.4345,84.7604,116.342,183.757,9.5251,185.944,114.699,31.0448,256.018,553.894,3.4632,24.2452,206.102,0,103.675,144.219,232.926,28.0374,110.713,481.394,720.596,55.7007,25.861,62.3206,21.8345,4.4488,3.8944,228.87,48.5928,59.2066,1174.12,113.488,34.0064,19.5543,19.1327,96.7604,38.0004,21.6664,266.415,19.5777,65.0439,198.28,52.5431,5.6543,64.3628,658.766,67.9895,25.4777,48.8736,92.388,39.916
MEIS1,89.0244,132.38,170.695,81.3543,165.613,44.9126,736.602,971.971,96.8444,323.452,374.073,523.603,258.313,239.111,596.191,265.007,356.665,614.305,60.0989,62.0671,117.503,125.785,593.82,110.941,437.264,222.8,258.35,113.617,143.693,702.893,70.0077,64.9686,22.9047,53.453,183.962,384.837,379.836,104.657,148.268,234.775,203.731,337.099,42.4292,514.388,285.621,92.2118,19.0476,132.662,461.017,126.937,252.506,864.124,218.453,99.0654,625.134,109.864,450.24,360.065,291.931,150.471,167.159,218.487,335.353,238.784,378.179,207.618,276.449,92.6266,256.111,184.04,62.0748,277.92,306.882,60.8178,677.874,388.197,138.468,61.587,80.0367,84.8142,130.554,598.837,155.821,308.917,303.551,53.0227,100.49
MEIS2,3121.34,3105.37,532.477,503.714,1178.63,471.351,1345.22,922.09,384.657,3192.68,802.811,569.102,1849.89,936,1493.03,2480.21,1253.73,1837.48,279.954,1486.28,99.3837,917.741,4355.99,3499.54,1894.31,3407.35,959.064,1142.13,159.704,541.495,531.555,208.195,806.524,2933.67,1150.94,2262.48,586.167,871.083,1158.01,1018.93,604.313,2586.02,1830.98,918.925,700.065,1513.4,117.749,865.05,575.593,2766.64,799.908,2164.08,514.699,2993.93,2154.33,480.803,166.046,607.734,1952.01,1220.17,3667.11,1500.74,160.104,1603.39,1371.69,1574.9,797.545,3388.38,2283.21,1657.51,1321,1767.69,1589.68,2844.75,2420.12,1490.7,809.258,832.927,3060.33,747.173,1514.35,1634.62,2645.17,2433.58,3236.35,1566.58,828.081
MEIS3,489.024,86.2603,315.71,220.68,251.89,275.958,47.5483,22.3278,608.814,13.4101,455.291,696.933,205.242,322.667,141.634,189.417,421.513,112.268,1563.33,160.709,90.5984,121.211,846.409,880.188,145.628,25.622,341.001,125.957,602.279,236.844,417.95,624.585,253.34,50.3316,365.828,59.501,243.454,153.603,39.5022,444.986,1869.56,159.552,29.8403,177.672,189.655,56.0748,67.5325,129.918,240,119.262,282.456,1216.92,507.463,168.224,601.278,1467.22,857.371,87.5296,95.4868,960.23,414.497,92.437,373.864,164.218,1200.03,135.78,249.056,121.416,261.955,154.134,163.265,96.3342,990.314,74.1217,918.035,869.808,242.618,240.715,51.3212,260.905,17.9192,145.796,513.569,40.0364,32.4551,110.866,931.723
MIXL1,0,0.427,0,2.4358,4.4626,1.8521,1.1887,1.9002,0,4.2912,0.3905,2.1666,3.7908,0,1.0226,0.4446,0,4.0742,0.7607,0,0.5491,0,0,0,0,0.7427,1.0396,0.8511,1.6422,0,0,5.4141,0,0.3902,0.5241,13.9155,0.3908,0,1.6234,7.0858,0,0.3999,0.4663,0,0.3253,0,0,0.9149,0,0,1.3823,0.7946,0.9046,0.9346,0,0,0,0.4973,0.4973,0,0,0.4943,0.4327,0,1.0564,0,0,0.8345,0.5313,0.5751,1.7007,0.4263,0.5758,0,2.152,0,0,0.7511,0.611,2.0194,0,0,0.2918,0.9099,0.7637,0,0
EOMES,6.7073,28.1841,8.6858,894.41,4.4626,103.253,49.5295,51.7815,14.1458,20.3834,3.1238,40.4438,58.4859,8,35.2806,13.7839,8.7494,43.0059,36.8962,10.714,18.1197,35.2852,22.7487,9.7889,67.5048,19.3093,21.3125,31.9149,203.223,2.8651,114.025,171.281,3.4704,29.6528,7.8616,7.6775,7.4248,39.7936,84.9567,11.8096,21.696,56.3831,14.9202,30.5672,55.9532,7.4766,3.4632,8.6917,5.4237,13.5793,30.872,21.4541,53.8218,68.6916,11.0102,34.2587,5.8542,37.2996,15.9145,35.2604,12.528,35.5907,334.055,42.6708,3.6973,3.1577,12.5945,9.5964,13.2837,22.4299,49.7449,77.1526,115.729,26.2277,21.5198,12.8653,24.7406,2.2532,21.9948,182.956,198.208,16.5474,5.836,41.8562,59.9465,0.8034,82.2829
GATA4,101.219,146.899,657.855,15.5888,1356.64,233.823,2463.79,311.164,10.8814,339.545,516.986,115.554,369.327,447.111,1007.8,2658.96,516.727,879.583,194.751,1136.79,2.7454,203.216,1134.3,1742.43,1716.44,17.4527,415.335,2163.4,436.005,3402.25,316.921,577.827,2910.98,1145.53,411.426,3746.64,65.6506,358.938,255.952,1805.93,330.202,1233.23,306.329,567.881,967.794,1305.3,2329.87,1812.9,454.237,453.432,18.4311,291.22,0,1286.92,237.942,8.86,77.7009,870.82,271.043,240.672,2067.11,92.437,82.2155,271.972,130.461,3747.39,897.986,107.647,3823.59,410.64,250.85,1357.63,154.305,357.305,621.062,153.825,254.19,624.883,161.906,52.9079,311.94,44.7227,350.161,1906.28,27.8732,4000,129.902
GATA5,1.8293,1224.3,255.287,243.576,283.625,6.9452,257.553,315.439,161.045,4.2912,8.1999,44.0549,421.856,339.556,624.313,200.978,88.0082,211.408,1.5215,186.94,17.0215,688.714,392.219,1075.97,483.152,495.73,137.232,824.255,0.4106,903.447,500.115,174.726,106.195,19.5084,940.252,71.0173,19.1481,1797.08,202.922,559.775,12.7001,43.5869,2.3313,53.4925,277.814,1028.66,10.3896,7.7768,1160.68,236.753,71.4203,178.784,342.831,614.019,130.287,278.204,5.322,1.9893,119.856,477.245,114.541,213.544,24.6646,572.823,172.716,747.582,724.497,201.525,246.546,628.037,378.401,636.829,344.883,80.2035,1450.87,156.062,903.432,4.8819,1419.28,15.3473,825.014,122.093,223.811,1.8198,65.6739,93.1914,317.227
OSR1,128.659,7.2595,21.9033,22.409,76.3605,106.494,127.984,659.382,186.616,392.649,166.732,368.327,66.0674,140.444,132.941,171.187,79.7735,213.671,3786.23,161.818,135.074,26.7906,618.137,112.165,314.769,99.5173,153.346,123.404,162.989,1278.77,11.3186,11.3203,125.629,29.6528,780.398,74.856,220.789,7.5608,381.493,69.4405,777.881,299.11,31.2391,1229.37,172.739,61.6822,16.4502,137.237,82.7119,74.9815,371.386,835.519,80.0543,21.4953,510.75,190.786,21.8201,143.23,409.797,145.142,47.9642,779.041,89.5716,222.836,51.2337,93.1518,388.854,292.483,43.5707,79.9425,53.5714,152.174,178.487,71.8411,250.06,63.7673,49.8803,30.7935,218.726,28.2714,123.972,405.635,79.3697,38.6715,134.402,703.756,32.563
LMO2,257.927,204.975,352.341,848.131,212.223,496.354,122.041,476.01,268.226,181.305,176.103,649.99,477.635,294.222,140.611,635.838,77.2002,430.059,330.164,673.132,387.651,172.832,267.493,86.8767,519.18,220.943,122.677,237.872,452.427,457.453,269.55,676.756,239.459,403.824,347.484,123.32,284.486,325.91,250.541,325.945,702.739,471.459,165.52,320.955,464.541,276.635,249.351,218.207,138.983,582.14,720.193,257.052,271.37,125.701,452.029,336.09,331.559,363.546,203.407,172.612,209.396,153.238,1099.09,108.186,185.392,182.356,256.297,244.084,152.497,472.753,216.412,327.792,312.64,109.472,239.3,770.242,304.868,101.018,312.204,831.179,413.97,180.233,180.041,499.545,253.532,1256.48,315.476
GATA2,15.8537,196.434,162.009,108.635,77.3522,631.092,12.2833,23.753,36.9967,47.7401,125.342,140.109,85.5627,111.111,33.2353,111.16,21.1014,465.822,697.223,410.086,371.179,12.7419,118.45,19.17,29.5807,5.1987,44.7044,47.6596,241.404,43.9308,311.052,425.249,13.8817,15.6067,31.9706,37.428,143.025,22.6824,70.8874,658.504,252.414,151.554,18.6502,66.3881,159.401,20.5607,25.974,77.3102,33.8983,93.8745,99.5277,719.905,25.7802,414.486,218.369,326.639,100.053,86.0377,53.214,157.852,131.723,29.1646,327.997,17.2407,109.334,10.2625,21.7255,21.6963,32.4123,21.8548,41.6667,94.6292,78.8797,1585.44,469.993,326.108,142.458,30.418,31.1593,199.112,34.7413,36.2254,283.922,142.857,45.4372,33.7417,302.871
TAL1,11.5854,13.665,220.544,58.4582,26.2799,62.9703,22.9817,18.0523,30.4679,13.9465,22.2569,332.217,35.7414,62.2222,27.0996,97.8213,13.896,120.416,44.5036,14.039,325.056,184.92,99.6237,11.0125,18.5828,15.9673,31.1891,27.6596,43.1079,37.2457,25.1525,27.5624,6.9408,9.364,15.1992,14.3954,92.6143,19.1009,12.987,48.6556,38.6294,40.3879,26.1103,60.1791,27.6513,7.4766,25.974,54.4373,63.7288,28.3395,70.4988,235.598,103.573,4.2056,178.61,14.7667,38.8505,76.0911,17.4064,112.751,40.8054,63.2724,112.938,31.4643,39.0855,26.8403,4.0932,35.0479,19.1286,6.3264,16.5816,80.1364,57.5764,63.0985,849.602,308.768,52.6736,20.2787,32.3812,54.1195,11.7023,25.0447,27.4292,16.8335,8.782,16.8709,16.1064
WT1,2648.78,1178.18,3689.95,392.644,1846.54,151.869,2000.2,5922.09,2068.55,3071.99,92.542,283.107,1091.19,2369.78,2509.52,1876.83,2325.78,1816.21,90.9091,885.933,10.9816,2633.97,3069.51,525.339,2576.94,3561.08,2642.76,4302.98,174.074,2290.13,1131.86,121.57,934.236,3119.39,1016.77,1273.99,44.1579,1532.05,864.178,1985.43,176.743,2955.51,4378.6,1635.82,1562.78,1790.65,55.4113,1636.32,4484.07,1088.71,1206.31,2852.6,2725.92,1606.07,1304.71,1106.91,11.7084,2344.4,1730.2,5437.06,1042.68,2385.57,294.245,8188.91,1093.34,1498.32,1105.48,778.981,1476.09,1886.41,202.806,1923.7,457.157,39.9117,4830.34,585.093,94.573,2136.39,3037.73,991.519,813.311,1877.91,992.705,2850.77,3413.13,2316.93,295.868
MSLN,57382.3,35713.5,13254.5,5155.52,48026.3,1881.24,59420.3,9176.25,14398.8,78219.7,175.322,3262.23,37574.5,7710.22,13191.4,46465.6,7801.85,36529.2,1619.63,12009.6,2941.98,22222.1,17784.8,14025.1,43346.1,69594.1,45481.5,54435.3,13.1376,1227.67,5391.85,8692.51,78781.2,57628.2,18765.2,26870.9,490.426,62543.6,2929.65,17735.7,1098.03,41806.7,20377.2,11053.4,18111.6,108976,11.2554,12288.7,31198.6,72702.6,5321.51,17843.5,23266.8,21561.2,2595.96,28136.4,1349.65,5993.79,81902.8,14909.4,8539.42,34159.2,3549.55,4674.82,5565.99,14901.1,24990.6,13044.1,6378.85,52846.6,12688.8,55932.2,15898,39161.4,12846.9,5301.08,569.433,9363.48,85393.6,8523.42,52448.7,28649.4,7783.19,73138.3,34073.6,3623.22,2482.49
NF2,602.439,795.986,480.74,671.295,617.826,2268.78,744.923,606.651,363.438,625.985,438.501,1036.37,363.37,556.444,641.698,1289.46,470.921,301.494,208.064,291.124,831.858,366.247,768.75,107.27,1109.28,1107.32,627.94,522.128,324.746,710.533,338.301,1049.34,682.978,651.19,571.279,684.261,2040.25,814.178,612.013,962.247,337.611,714.986,994.521,450.866,807.417,842.368,1517.75,661.025,862.373,1293.58,376.915,270.163,636.816,269.159,801.908,495.57,585.418,462.017,113.391,1037.72,183.624,820.563,1119,1295.21,1063.23,1068.88,1593.52,213.208,255.048,299.64,545.493,1053.71,766.918,72.6013,796.664,673.472,217.877,788.615,437.452,1510.5,172.244,654.293,629.997,516.379,283.696,179.956,217.087
BAP1,2489.63,409.523,1653.32,1525.76,329.738,506.54,392.67,2485.04,1897.17,158.239,1130.81,1836.58,647.135,1452.44,2187.91,1513.56,1691.2,507.017,2823.51,574.12,1454.52,572.73,1380.61,412.358,1437.7,304.122,1813.13,1890.64,470.081,1388.6,1823.55,1539.07,1338.89,1747.56,1898.85,1476.01,1577.96,2703.98,239.719,3207.02,2479.16,785.764,4341.76,1670.69,1839.62,214.33,6151.52,1796.43,3002.71,334.76,2089.62,1552.64,3375.4,342.523,1360.98,2404.61,668.441,1932.61,143.727,635.096,414.497,886.802,1305.5,2645.59,1472.57,341.82,2176.01,819.87,376.195,541.193,985.544,489.77,925.253,129.238,3502.13,1329.6,638.069,2128.13,1950.21,571.486,273.176,1503.58,1345.2,398.089,877.434,344.647,219.538
TP53,2632.32,1438.24,1532.1,1677.26,2436.1,2254.89,2059.24,4762.47,2648.53,1221.93,4601.72,1598.25,2408.21,1135.11,2233.93,839.484,2567.16,1331.37,1982.12,1695.02,665.382,3022.76,3274.25,3275.62,1731.61,2370.22,2393.24,2185.11,2858.26,3659.63,3253.89,1954.47,2359.88,2258.29,701.258,1646.83,1083.61,2400.35,4166.67,2611.81,2738.46,1658.3,1854.3,1286.21,1523.42,1795.02,1647.62,1141.81,2410.85,1202.66,1408.59,3239.97,2681.14,2160.75,1302.87,2639.69,3568.92,2177.3,1689.42,2820.42,3501.74,1548.69,1589.36,1260.73,2047.24,4611.01,1863.67,4138.99,1458.02,3121.78,1295.92,1122.76,2158.54,1366.12,1118.6,2107.12,2595.37,1542.31,2743.85,2584.81,1123.79,1168.6,3441.79,1940.86,2310.81,2422.17,3022.06
BRCA1,95.7317,509.875,214.879,361.466,194.372,589.54,107.38,183.373,350.381,60.0774,533.776,168.275,152.713,324.444,87.4345,237.883,133.814,53.8705,530.24,496.906,37.3375,222.166,58.8329,305.088,89.5007,97.2893,93.0474,120,541.517,350.014,806.275,198.843,101.336,86.6172,107.442,113.244,616.647,214.09,325.758,335.865,367.774,294.312,174.379,123.224,363.695,62.9283,451.948,295.06,210.169,80.8856,257.113,382.598,107.191,323.365,158.21,258.122,212.879,214.348,112.396,246.002,413.423,22.2442,250.541,240.939,82.3965,495.757,221.663,761.457,510.096,392.236,375.85,196.078,202.669,122.776,531.109,388.197,163.607,561.794,158.851,709.612,86.3046,223.166,267.873,199.272,242.077,88.3712,515.056
YY1,1079.27,1275.54,840.257,880.77,762.117,1655.75,1154.23,913.064,867.791,1111.43,1140.96,964.151,1103.65,960,677.49,1353.94,859.496,1272.52,919.361,948,1164.05,842.27,647.162,734.577,1024.33,1003.34,872.255,796.17,1227.96,956.45,1288.64,1136.46,590.665,619.977,944.969,1319.58,1723.33,886.204,1377.71,891.389,842.439,973.308,930.645,896,984.06,707.788,309.957,1060.38,928.814,1451.81,775.947,843.067,791.949,1252.34,1209.9,891.908,958.489,972.773,1157.78,988.93,1046.62,1454.77,1202.51,813.761,973.44,547.859,804.472,1175.77,1171.63,1193.96,1278.06,1450.55,979.951,752.621,1203.39,776.395,1543.5,943.709,1347.18,1321.08,1602.12,1597.94,1176.54,1120.11,1380.68,888.532,1398.11
TBP,161.585,204.975,221.299,290.342,331.722,441.255,245.27,502.138,291.621,160.922,454.12,218.108,256.146,173.333,192.254,281.458,188.883,327.297,235.451,332.502,302.544,337.823,285.536,364.23,180.139,163.758,220.403,288.936,259.468,314.201,430.945,185.554,206.143,171.674,257.862,223.129,293.083,216.875,336.58,417.115,300.569,282.315,267.63,241.672,234.873,292.212,263.204,333.028,291.525,226.125,296.74,482.717,278.607,341.122,261.798,194.33,183.076,258.113,142.733,256.253,288.859,217.004,219.818,182.321,277.824,349.714,255.353,356.738,196.599,415.241,241.497,256.181,303.428,211.722,250.491,298.7,241.82,323.707,275.546,279.887,319.254,220.036,142.982,293.904,253.15,395.26,369.748
OTX2,0,0,0,0,0.4958,0,0,0,0,0,0,0,0,0,0,0,0,1.3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2234,0,0,0,3.4813,0,0,0,0,0,1.0564,0,0,0,0,0,0,1.2788,0,0,2.5824,0,0,0,0,15.7512,0,0,0,0,0,0,0
MITF,281.707,83.2711,176.359,318.11,89.7484,88.4362,154.532,220.903,186.616,78.8516,75.7517,247.718,113.181,203.556,171.29,83.5927,332.476,160.254,203.88,127.459,777.499,128.399,98.0548,66.4831,125.149,60.156,239.636,140,189.675,66.8512,86.776,175.711,70.1024,86.6172,272.013,184.741,59.0074,144.053,153.68,86.4463,202.143,143.157,275.09,323.343,300.586,66.6667,439.827,427.264,236.61,124.576,333.602,234.009,365.898,62.6168,235.496,70.2894,47.8978,306.354,84.5456,114.801,225.861,135.937,280.831,192.234,540.331,56.8384,486.461,118.912,164.187,198.994,100.765,233.589,103.638,134.559,326.24,118.585,148.444,224.567,100.809,181.341,159.81,118.962,58.3601,87.8071,84.3834,33.7417,107.493
GAPDH,83123.2,104955,83205.8,81675.8,56985.7,60062.5,45940.8,80706.4,100189,22611.1,23677.9,70313,49322.5,71248,76815,86597.2,102621,41077,118428,131476,25790.9,96413.4,70277.8,46088.7,33125.1,33884.5,70739.4,72813.6,127538,106409,214526,74549.5,169676,52807.6,121452,40981.8,122909,127275,84654.8,78274.6,102277,71522.9,44775.4,36428.4,55229,145773,71387,38187.1,63197.3,64058.5,98991.4,59087.4,77775.7,157615,35696.9,134458,84756.8,74750.8,94787,71078.7,86761.2,33544.7,76280.8,67182.3,43647.4,90201.7,95726.1,120932,122834,104407,165878,34841,44407,140367,56813.2,60264.6,88332.4,88087.1,48273.1,69434.6,104670,41399.8,72303.5,66807.6,36194.7,71037.6,74628.2
ATP5PB,2132.32,3543.43,2077.42,2119.11,1731.99,2179.42,2600.1,3495.01,2555.5,2721.66,1498.24,1915.3,2497.02,2209.78,2019.17,3324.14,1560.47,2609.33,2036.44,1856.47,2460.43,2321.63,1651.24,1472.01,1847.66,2718.9,2011.18,1485.53,3885.87,2671.66,1713.3,1854.07,4043.73,2847.05,3724.32,2103.17,3675.65,3094.35,1825.76,1914.1,3062.84,2684.39,2594.71,2645.01,3570.27,1712.15,3766.23,2014.64,1908.47,3257.86,3512.96,1389.35,3162.37,1213.08,2105.39,1970.47,2917.51,3252.52,1750.09,1217.71,1757.14,2931.29,2733.45,2352.06,1483.66,2616.14,2151.14,3244.02,2250.27,3746.37,2175.6,2115.09,1290.86,2632.27,2109.37,1800.59,3049.08,1726.32,3600.35,2556.95,2803.8,2008.05,2201.59,3956.32,2332.19,3132.36,2461.13
GUSB,2094.51,2645.46,2227.34,2246.26,1844.55,2385.92,1611.89,2300.24,1893.36,2398.8,1599.38,1672.64,1856.38,1568.89,1856.07,2596.71,1591.87,1340.88,1333.97,2422.46,1851.5,1691.4,1377.47,1219.54,2111.61,2235.05,2261.73,1435.32,2062.61,1369.5,1567.42,1749.23,3092.14,1710.89,1655.14,823.896,1439.62,1859.16,1702.38,1559.81,2414.61,1675.9,1701.36,1767.64,1682.17,2339.56,4489.18,1497.26,1762.03,1509.08,2024.65,1596.74,2303.48,1499.53,1297.37,2348.49,1507.18,1646.65,1736.17,1350.14,1351.23,1304.99,2310.69,1390.03,1487.89,1034.93,3635.39,1550.45,1115.3,1923.22,1522.53,2223.79,1399.68,2756.57,1690.17,1322.89,1037.11,1289.2,1788.91,1810.58,2654.23,3251.79,1005.25,1619.65,1184.04,1904,2114.5
